PLATE,MJD,RACEN,DECCEN,RUN2D,RUN1D,QUALITY,SN^2,N_gal,N_QSO,N_star,N_unk,N_sky,SURVEY,PROG,CHUNK,TILEID,PUBLIC
3776,55209,179.24,-1.63,v5_7_0,v5_7_0,good,25.7,540,118,171,91,80,boss,boss,boss4,10218,DR9
3777,55210,184.58,-1.63,v5_7_0,v5_7_0,good,23.3,539,116,174,91,80,boss,boss,boss4,10207,DR9
3778,55213,189.17,-1.65,v5_7_0,v5_7_0,good,15.4,457,127,174,162,80,boss,boss,boss4,10211,DR9
3779,55222,192.83,-1.69,v5_7_0,v5_7_0,good,17.1,484,126,164,142,84,boss,boss,boss4,10215,DR9
3780,55240,137.23,-1.90,v5_7_0,v5_7_0,good,22.1,491,112,188,76,133,boss,boss,boss4,10176,DR9
3781,55243,141.33,-1.88,v5_7_0,v5_7_0,good,23.0,513,122,168,79,118,boss,boss,boss4,10184,DR9
3782,55244,146.16,-1.87,v5_7_0,v5_7_0,good,23.4,480,105,166,141,108,boss,boss,boss4,10190,DR9
3783,55246,150.38,-1.86,v5_7_0,v5_7_0,good,22.3,557,119,155,89,80,boss,boss,boss4,10192,DR9
3784,55269,154.09,-1.82,v5_7_0,v5_7_0,good,17.7,481,93,230,116,80,boss,boss,boss4,10198,DR9
3785,55273,157.93,-1.79,v5_7_0,v5_7_0,good,20.3,543,109,151,113,84,boss,boss,boss4,10202,DR9
3785,55241,157.93,-1.79,v5_7_0,v5_7_0,good,16.3,523,117,136,140,84,boss,boss,boss4,10202,DR9
3786,55563,161.87,-1.76,v5_7_0,v5_7_0,good,17.2,563,89,118,140,90,boss,boss,boss4,10228,DR9
3787,55565,165.08,-1.73,v5_7_0,v5_7_0,good,28.0,591,85,138,92,94,boss,boss,boss4,10225,DR9
3788,55246,168.50,-1.69,v5_7_0,v5_7_0,good,20.7,646,77,72,105,100,boss,boss,boss4,10223,DR9
3789,55269,172.66,-1.66,v5_7_0,v5_7_0,good,19.3,541,104,156,108,91,boss,boss,boss4,10221,DR9
3790,55208,177.05,-1.63,v5_7_0,v5_7_0,good,23.4,534,116,130,140,80,boss,boss,boss4,10219,DR9
3791,55501,117.62,35.68,v5_7_0,v5_7_0,good,16.7,514,124,157,125,80,boss,boss,boss3,10135,DR9
3792,55212,187.17,-1.64,v5_7_0,v5_7_0,good,18.6,454,112,165,189,80,boss,boss,boss4,10209,DR9
3793,55214,190.95,-1.67,v5_7_0,v5_7_0,good,20.8,474,112,194,138,82,boss,boss,boss4,10213,DR9
3794,55241,194.26,-1.71,v5_7_0,v5_7_0,good,12.2,517,77,130,192,84,boss,boss,boss4,10217,DR9
3800,55486,118.66,37.99,v5_7_0,v5_7_0,good,22.7,533,116,136,92,123,boss,boss,boss3,10136,DR9
3801,55509,120.16,36.25,v5_7_0,v5_7_0,good,19.9,559,129,124,108,80,boss,boss,boss3,10138,DR9
3802,55528,121.02,38.38,v5_7_0,v5_7_0,good,14.9,567,113,132,108,80,boss,boss,boss3,10139,DR9
3802,55514,121.02,38.38,v5_7_0,v5_7_0,good,17.0,565,113,140,102,80,boss,boss,boss3,10139,DR9
3803,55513,121.92,40.52,v5_7_0,v5_7_0,good,16.2,555,128,113,124,80,boss,boss,boss3,10140,DR9
3804,55267,122.96,36.95,v5_7_0,v5_7_0,good,20.1,517,147,136,111,89,boss,boss,boss3,10142,DR9
3805,55269,124.03,39.21,v5_7_0,v5_7_0,good,15.0,546,140,120,96,98,boss,boss,boss3,10143,DR9
3806,55505,124.59,41.04,v5_7_0,v5_7_0,good,16.4,557,114,116,91,122,boss,boss,boss3,10144,DR9
3807,55511,125.18,42.89,v5_7_0,v5_7_0,good,17.5,566,120,116,118,80,boss,boss,boss3,10145,DR9
3808,55513,127.20,41.43,v5_7_0,v5_7_0,good,21.7,565,148,123,63,101,boss,boss,boss3,10149,DR9
3809,55533,130.06,3.79,v5_7_0,v5_7_0,good,21.3,503,134,169,91,103,boss,boss,boss4,10172,DR9
3810,56015,131.03,1.91,v5_7_0,v5_7_0,good,18.5,508,121,183,83,105,boss,boss,boss4,10171,DR10
3810,55531,131.03,1.91,v5_7_0,v5_7_0,good,13.1,448,120,140,187,105,boss,boss,boss4,10171,DR9
3811,55538,132.04,3.80,v5_7_0,v5_7_0,good,15.2,508,111,151,112,118,boss,boss,boss4,10175,DR9
3812,55513,132.47,-0.00,v5_7_0,v5_7_0,good,15.8,540,95,165,120,80,boss,boss,boss4,10170,DR9
3813,55532,132.71,1.90,v5_7_0,v5_7_0,good,14.7,511,130,149,104,106,boss,boss,boss4,10174,DR9
3814,55535,133.93,3.80,v5_7_0,v5_7_0,good,15.4,527,100,164,102,107,boss,boss,boss4,10179,DR9
3815,55537,134.02,-0.00,v5_7_0,v5_7_0,good,20.5,534,118,156,112,80,boss,boss,boss4,10173,DR9
3816,55272,134.78,1.90,v5_7_0,v5_7_0,good,21.4,530,116,146,112,96,boss,boss,boss4,10178,DR9
3817,55277,136.01,3.79,v5_7_0,v5_7_0,good,20.2,522,123,142,101,112,boss,boss,boss4,10183,DR9
3818,55532,136.44,-0.00,v5_7_0,v5_7_0,good,34.0,565,123,160,65,87,boss,boss,boss4,10177,DR9
3819,55540,137.01,1.90,v5_7_0,v5_7_0,good,16.6,524,110,150,95,121,boss,boss,boss4,10182,DR9
3820,55542,137.89,3.78,v5_7_0,v5_7_0,good,11.0,561,112,107,140,80,boss,boss,boss4,10187,DR9
3821,55535,138.88,-0.00,v5_7_0,v5_7_0,good,24.9,590,113,133,79,85,boss,boss,boss4,10181,DR9
3822,55544,139.04,1.89,v5_7_0,v5_7_0,good,19.0,609,114,123,74,80,boss,boss,boss4,10186,DR9
3823,55534,141.21,-0.00,v5_7_0,v5_7_0,good,25.6,633,101,127,59,80,boss,boss,boss4,10185,DR9
3825,55533,143.05,-0.00,v5_7_0,v5_7_0,good,21.3,560,114,139,96,91,boss,boss,boss4,10189,DR9
3826,55563,145.17,-0.00,v5_7_0,v5_7_0,good,14.3,485,129,132,161,93,boss,boss,boss4,10191,DR9
